,,Fold Change,,,,,,,,,,,,,,,
,,1.50,,,1.25,,,1.10,,,,,,,,,
,,Number of genes,Minimum mean normalized tag count (tpm),Maximum mean normalized tag count (tpm),Number of genes,Minimum mean normalized tag count (tpm),Maximum mean normalized tag count (tpm),Number of genes,Minimum mean normalized tag count (tpm),Maximum mean normalized tag count (tpm),,,,,,,
Posterior probability,post-p < 0.2,1649,2.11,1802.38,312,2.83,1281.15,8,20,176.63,,,,,,,
,post-p < 0.1,1375,2.22,1802.38,179,7.06,1281.15,2,51.81,105.73,,,,,,,
,post- p < 0.05,1127,2.83,1802.38,122,20,1281.15,1,105.7302047,105.7302047,,,,,,,
,post-p < 0.01,801,5.69,1802.38,62,20,1281.15,0,NA,NA,,,,,,,
